,Player,MPG,PER,OWS,DWS,WS,OBPM,BPM,VORP,Years_Played,Fantasy_PPG
1373,Don MacLean,33.16,17.8,5.3,0.3,5.6,1.2,-1.0,0.6,2.0,28.506666666666668
1374,Mark Macon,11.81,8.0,-0.9,0.4,-0.4,-4.6,-4.9,-0.4,3.0,7.755952380952381
1375,Gerald Madkins,6.77,7.4,-0.1,0.2,0.1,-3.7,-4.3,-0.1,1.0,3.8636363636363638
1376,Rick Mahorn,8.07,9.2,0.2,0.2,0.5,-3.5,-4.2,-0.1,17.0,4.6875
1377,Dan Majerle,40.09,13.7,5.0,2.3,7.3,2.6,2.3,3.5,11.0,31.78125
1378,Jeff Malone,33.25,13.5,3.2,0.9,4.2,-0.6,-3.0,-0.6,12.0,22.227272727272727
1379,Danny Manning,37.06,16.4,0.7,2.8,3.5,-0.3,0.6,1.7,11.0,35.481617647058826
1380,Jamal Mashburn,36.66,13.2,-0.2,1.0,0.9,-0.2,-2.5,-0.4,1.0,29.088607594936708
1381,Anthony Mason,26.07,10.8,1.6,3.3,4.9,-1.6,0.4,1.2,1.0,15.770547945205479
1382,Marlon Maxey,11.38,15.4,0.9,0.7,1.7,-1.9,-3.2,-0.2,2.0,9.827272727272728
1383,Vernon Maxwell,34.28,12.5,-0.1,3.6,3.5,-0.3,-0.1,1.2,6.0,27.526666666666667
1384,Lee Mayberry,17.95,9.4,0.1,0.3,0.4,-2.7,-5.8,-1.4,2.0,10.810975609756097
1385,Xavier McDaniel,24.04,14.5,1.0,1.3,2.3,-0.9,-2.0,0.0,11.0,19.448170731707318
1386,Derrick McKey,34.38,13.3,1.7,3.3,5.0,0.2,2.2,2.8,6.0,25.32894736842105
1387,Nate McMillan,25.85,15.5,1.5,4.5,6.0,0.7,5.2,3.4,14.0,24.08219178082192
1388,Darnell Mee,7.5,6.3,-0.6,0.4,-0.1,-4.8,-3.8,-0.1,1.0,4.598684210526316
1389,Oliver Miller,25.88,18.2,2.2,3.1,5.3,0.7,5.6,3.4,2.0,26.692028985507246
1390,Chris Mills,25.59,12.6,1.7,2.4,4.0,-0.8,-0.5,0.8,1.0,19.553797468354432
1391,Terry Mills,34.66,17.7,4.5,1.8,6.3,1.1,1.1,2.2,4.0,31.35
1392,Harold Miner,21.56,14.0,1.9,0.7,2.7,-0.5,-2.6,-0.2,2.0,15.607142857142858
1393,Sam Mitchell,14.45,10.9,1.0,1.2,2.2,-1.4,-1.7,0.1,5.0,9.34
1394,Chris Morris,26.98,15.4,2.2,1.6,3.8,1.8,2.9,1.7,6.0,23.025
1395,Eric Murdock,30.89,20.3,5.1,2.2,7.2,3.8,3.1,3.3,3.0,33.01219512195122
1396,Tracy Murray,12.42,15.3,1.5,0.7,2.2,0.9,-1.4,0.1,2.0,10.56060606060606
1397,Pete Myers,24.76,10.6,0.6,2.4,3.0,-2.3,-2.3,-0.1,5.0,15.512195121951219
1398,Johnny Newman,20.95,14.1,2.4,1.3,3.7,0.2,-1.2,0.4,11.0,16.145061728395063
1399,Ken Norman,30.96,12.6,0.6,1.3,1.9,-0.8,-1.5,0.3,9.0,23.15548780487805
1400,Charles Oakley,35.76,15.3,3.7,6.8,10.5,0.2,4.0,4.4,18.0,29.3109756097561
1401,Jimmy Oliver,12.27,10.1,0.0,0.2,0.2,-2.7,-5.5,-0.5,2.0,7.7727272727272725
1402,Bo Outlaw,23.54,14.3,1.5,0.9,2.3,-0.3,1.3,0.7,1.0,17.864864864864863
1403,Doug Overton,12.28,8.4,-0.4,0.0,-0.4,-4.1,-6.9,-0.9,2.0,6.799180327868853
1404,Billy Owens,34.66,15.6,3.0,2.6,5.7,0.6,1.5,2.4,3.0,30.199367088607595
1405,Robert Pack,20.94,15.0,-0.3,1.9,1.7,-1.2,-2.5,-0.2,3.0,19.132575757575758
1406,Gerald Paddio,7.61,8.5,-0.2,0.1,-0.1,-5.1,-8.5,-0.2,3.0,4.763888888888889
1407,John Paxson,12.7,8.3,0.3,0.3,0.6,-2.5,-3.8,-0.2,11.0,5.9907407407407405
1408,Anthony Peeler,30.77,13.4,0.3,0.4,0.8,0.0,-1.4,0.1,2.0,24.8
1409,Mike Peplowski,12.13,9.6,0.3,0.7,0.9,-3.7,-3.1,-0.2,1.0,7.8545454545454545
1410,Will Perdue,9.23,9.8,-0.4,0.7,0.2,-5.3,-4.1,-0.2,5.0,6.587209302325581
1411,Sam Perkins,26.79,14.9,4.2,2.8,7.0,1.5,0.7,1.5,8.0,22.12962962962963
1412,Elliot Perry,16.0,11.3,-0.1,0.4,0.3,-3.4,-5.4,-0.4,2.0,12.49074074074074
1413,Tim Perry,29.2,11.5,1.3,1.3,2.6,-1.2,-1.2,0.5,17.0,19.64375
1414,Chuck Person,26.35,11.7,0.4,0.8,1.2,-0.1,-2.4,-0.2,6.0,19.584415584415584
1415,Richard Petruska,4.18,12.3,-0.2,0.2,0.0,-6.6,-10.8,-0.2,1.0,3.8181818181818183
1416,Bobby Phills,21.26,14.1,1.9,1.7,3.5,-0.4,-0.4,0.6,3.0,15.805555555555555
1417,Ricky Pierce,20.04,20.8,2.9,1.1,4.0,1.8,-1.3,0.2,7.0,20.862745098039216
1418,Olden Polynice,35.32,14.9,3.1,2.0,5.1,-1.3,-1.9,0.1,16.0,26.83823529411765
1419,Terry Porter,26.94,16.4,3.5,1.8,5.4,2.4,1.0,1.6,6.0,26.136363636363637
1420,Brent Price,15.92,13.2,0.5,0.2,0.7,0.4,-2.6,-0.2,2.0,12.988461538461538
1421,Mark Price,31.39,22.7,7.6,2.4,10.0,6.2,4.6,3.9,15.0,35.098684210526315
1422,Dino Radja,28.79,18.2,3.8,2.2,5.9,0.8,0.5,1.5,1.0,26.859375
1423,Kurt Rambis,12.7,14.0,1.0,0.6,1.7,-0.9,-0.1,0.3,6.0,9.595
1424,Mark Randall,5.54,11.2,0.0,0.2,0.2,-2.1,-2.4,0.0,3.0,4.196428571428571
1425,J.R. Reid,19.2,14.7,1.5,1.5,3.0,-0.6,-1.5,0.2,5.0,14.564285714285715
1426,Glen Rice,37.02,18.5,7.3,2.9,10.2,2.8,1.8,2.9,5.0,34.80864197530864
1427,Pooh Richardson,27.62,13.3,0.4,0.9,1.4,-0.7,-2.1,0.0,5.0,21.64864864864865
1428,Isaiah Rider,30.57,14.2,0.9,0.8,1.7,0.4,-1.8,0.1,1.0,24.481012658227847
1429,Eric Riley,4.66,13.4,0.1,0.4,0.4,-3.6,-3.7,-0.1,1.0,3.622340425531915
1430,Doc Rivers,26.26,12.9,0.6,0.9,1.5,-0.4,0.2,0.3,6.0,20.18421052631579
1431,Clifford Robinson,34.79,17.4,3.7,3.7,7.5,0.0,0.6,1.9,5.0,35.042682926829265
1432,James Robinson,11.6,10.0,-0.5,0.7,0.2,-2.4,-3.4,-0.2,1.0,8.956896551724139
1433,Larry Robinson,9.17,13.0,-0.1,0.1,0.0,-2.2,0.9,0.0,3.0,7.708333333333333
1434,Rumeal Robinson,12.77,6.1,-1.0,0.3,-0.6,-5.5,-7.2,-0.5,4.0,8.0
1435,Rodney Rogers,17.8,12.9,-0.1,2.1,2.0,-1.4,-0.9,0.4,1.0,14.563291139240507
1436,Sean Rooks,26.7,14.6,1.4,0.7,2.2,-1.9,-2.8,-0.3,2.0,20.106382978723403
1437,Donald Royal,18.34,14.6,2.6,1.2,3.8,-0.3,-0.9,0.4,3.0,13.304054054054054
1438,Bryon Russell,16.73,11.1,0.4,1.7,2.1,-1.6,0.7,0.8,1.0,10.966417910447761
1439,John Salley,25.13,13.0,2.5,2.3,4.8,-0.7,1.2,1.6,6.0,18.8125
1440,Detlef Schrempf,33.68,14.9,5.1,3.2,8.4,1.2,1.2,2.2,6.0,26.401234567901234
1441,Byron Scott,17.87,17.6,1.7,1.4,3.1,0.7,-0.7,0.4,7.0,16.5
1442,Dennis Scott,27.84,14.1,3.4,1.5,5.0,1.6,0.0,1.2,4.0,23.420731707317074
1443,Malik Sealy,14.49,12.1,-0.3,0.9,0.6,-2.6,-2.9,-0.1,2.0,11.848837209302326
1444,Rony Seikaly,33.47,17.1,3.3,3.4,6.7,-0.2,1.1,1.9,6.0,31.03472222222222
1445,Brian Shaw,26.45,13.4,1.2,2.0,3.2,0.7,0.8,1.4,4.0,21.912337662337663
1446,Lionel Simmons,36.03,14.8,1.5,2.3,3.8,-0.5,0.7,1.9,4.0,31.406666666666666
1447,Scott Skiles,28.09,13.1,3.5,0.9,4.4,0.1,-2.8,-0.5,8.0,21.350609756097562
1448,Charles Smith,25.7,11.3,0.4,2.0,2.4,-2.6,-1.0,0.3,16.0,18.476744186046513
1449,Chris Smith,20.21,10.2,0.4,0.5,0.9,-2.7,-5.3,-1.4,2.0,12.95
1450,Doug Smith,21.32,13.5,0.7,1.6,2.3,-1.9,-1.7,0.1,3.0,18.053797468354432
1451,Kenny Smith,28.32,14.2,3.9,2.2,6.1,0.9,-0.9,0.6,8.0,21.108974358974358
1452,LaBradford Smith,13.29,11.6,0.4,0.4,0.8,-1.3,-3.2,-0.3,3.0,9.905303030303031
1453,Steve Smith,35.59,17.2,6.2,1.9,8.1,3.6,2.8,3.4,3.0,31.78846153846154
1454,Tony Smith,22.15,12.8,1.2,0.5,1.7,-0.6,-2.3,-0.1,4.0,15.952054794520548
1455,Rik Smits,27.09,19.7,4.7,3.0,7.8,1.7,2.3,2.3,5.0,27.275641025641026
1456,Elmore Spencer,25.39,10.7,-1.0,1.6,0.6,-4.3,-3.4,-0.7,1.0,17.74671052631579
1457,Latrell Sprewell,43.09,15.9,4.7,3.2,8.0,1.7,2.0,3.6,2.0,39.545731707317074
1458,John Starks,34.86,16.0,2.1,3.7,5.8,2.5,2.7,2.4,4.0,33.3771186440678
1459,Bryant Stith,34.79,12.7,3.4,3.4,6.8,-0.2,0.8,2.0,2.0,23.286585365853657
1460,Rod Strickland,35.23,19.8,6.3,3.0,9.3,3.2,3.4,3.9,18.0,37.292682926829265
1461,Derek Strong,16.88,14.6,1.3,0.8,2.1,-2.3,-3.8,-0.5,2.0,13.235074626865671
1462,Kevin Thompson,4.14,4.9,-0.1,0.0,0.0,-4.9,-5.6,-0.1,1.0,1.9821428571428572
1463,Otis Thorpe,35.48,16.1,4.9,4.9,9.8,0.3,2.0,3.0,6.0,28.36890243902439
1464,Sedale Threatt,28.12,15.3,3.6,1.0,4.5,0.3,-1.7,0.2,10.0,22.984567901234566
1465,Tom Tolbert,13.06,7.9,-0.3,0.3,0.0,-4.5,-5.5,-0.6,9.0,7.448979591836735
1466,Sedric Toney,5.33,-0.9,-0.2,0.0,-0.2,-9.2,-13.2,-0.2,8.0,1.5833333333333333
1467,Jeff Turner,22.59,7.6,0.4,1.0,1.4,-2.6,-3.6,-0.6,15.0,12.007352941176471
1468,Nick Van,33.33,13.6,2.7,0.7,3.4,1.1,-1.4,0.4,1.0,27.376543209876544
1469,Loy Vaught,28.24,16.0,3.4,2.2,5.5,-0.2,-0.8,0.7,4.0,23.99
1470,Kenny Walker,19.14,10.7,1.5,0.4,1.9,-2.0,-2.6,-0.2,6.0,11.67123287671233
1471,Rex Walters,8.04,16.2,0.8,0.4,1.2,1.0,-1.1,0.1,1.0,6.875
1472,Clarence Weatherspoon,38.38,18.1,3.1,2.8,6.0,-0.1,0.5,2.0,2.0,36.298780487804876
1473,Spud Webb,32.49,15.2,4.0,1.1,5.1,1.2,-0.6,0.9,15.0,27.705696202531644
1474,Chris Webber,32.08,21.7,4.6,3.2,7.8,2.9,5.3,4.5,1.0,36.5328947368421
1475,Bill Wennington,18.04,14.0,1.3,2.3,3.5,-1.9,-1.5,0.2,12.0,14.401315789473685
1476,David Wesley,9.03,13.0,-0.1,0.7,0.6,-1.8,-3.2,-0.2,1.0,7.745833333333334
1477,Doug West,30.31,13.3,1.6,0.9,2.6,-0.6,-2.2,-0.1,5.0,22.54861111111111
1478,Ennis Whatley,12.24,12.8,0.8,1.4,2.2,-2.3,-2.4,-0.1,2.0,8.701219512195122
1479,Randy White,17.78,11.4,-0.1,0.3,0.2,-3.4,-4.7,-0.2,5.0,13.527777777777779
1480,Chris Whitney,8.48,3.5,-0.7,0.3,-0.3,-5.6,-7.3,-0.5,1.0,4.24375
1481,Gerald Wilkins,33.76,14.9,4.2,2.6,6.8,1.7,1.7,2.6,6.0,26.286585365853657
1482,Buck Williams,32.54,14.0,4.7,3.2,7.9,0.0,1.0,2.0,7.0,23.496913580246915
1483,Corey Williams,11.5,8.0,0.0,0.0,0.0,-4.1,-5.3,0.0,2.0,7.125
1484,Herb Williams,11.06,10.4,-0.2,1.7,1.6,-4.9,-2.3,-0.1,14.0,7.9035714285714285
1485,John Williams,21.32,10.5,0.3,0.5,0.8,-2.0,-1.8,0.0,8.0,14.926470588235293
1486,Kenny Williams,14.44,15.8,1.2,1.2,2.4,-0.5,-0.2,0.4,4.0,12.297794117647058
1487,Lorenzo Williams,18.84,11.1,0.4,0.7,1.1,-3.1,-1.0,0.2,1.0,12.776315789473685
1488,Micheal Williams,31.07,18.0,4.1,1.5,5.6,2.2,1.1,1.7,16.0,30.309859154929576
1489,Reggie Williams,32.37,13.1,0.9,3.9,4.8,-0.1,1.3,2.2,6.0,27.128048780487806
1490,Scott Williams,16.79,15.4,0.6,1.1,1.7,-1.4,-1.2,0.1,4.0,14.697368421052632
1491,Walt Williams,23.79,10.4,-1.7,1.0,-0.7,-2.5,-3.3,-0.5,2.0,19.144736842105264
1492,Kevin Willis,35.84,19.4,5.1,5.1,10.2,0.8,1.1,2.2,7.0,35.58125
1493,Trevor Wilson,21.42,11.8,0.0,0.8,0.8,-2.2,-2.9,-0.3,2.0,14.535087719298245
1494,David Wingate,20.1,10.8,0.3,0.6,1.0,-1.8,-1.9,0.0,13.0,12.995
1495,David Wood,15.15,11.1,1.7,0.6,2.3,-0.6,-0.7,0.4,3.0,9.871794871794872
1496,Randy Woods,8.8,12.8,0.0,0.2,0.3,0.5,-2.3,0.0,2.0,8.00625
1497,Orlando Woolridge,26.42,13.9,0.7,0.7,1.5,-1.7,-3.2,-0.6,6.0,20.39864864864865
1498,Haywoode Workman,26.37,12.9,0.7,2.2,2.8,-1.0,-0.9,0.5,2.0,20.942307692307693
1499,Luther Wright,6.13,-0.4,-0.2,0.1,-0.1,-7.6,-10.1,-0.2,1.0,1.8833333333333333
1500,Alaa Abdelnaby,9.37,12.6,-0.4,0.7,0.3,-4.6,-6.3,-0.6,2.0,7.189814814814815
1501,Mahmoud Abdul-Rauf,28.52,17.8,3.8,1.3,5.0,2.2,-0.6,0.7,5.0,25.636986301369863
1502,Michael Adams,15.28,17.7,1.1,0.5,1.6,3.1,0.5,0.3,9.0,14.422413793103448
1503,Rafael Addison,22.48,11.3,0.9,0.6,1.5,-1.9,-3.4,-0.6,3.0,15.009493670886076
1504,Danny Ainge,18.57,14.3,2.8,0.6,3.4,2.1,-0.4,0.6,17.0,15.158783783783784
1505,Victor Alexander,24.74,12.8,0.3,0.8,1.1,-2.4,-2.7,-0.2,4.0,18.47
1506,Derrick Alston,16.12,11.6,0.0,1.0,1.0,-2.9,-2.4,-0.1,1.0,10.26171875
1507,Kenny Anderson,37.35,18.0,4.8,2.0,6.8,3.5,1.7,2.5,4.0,38.11805555555556
1508,Nick Anderson,34.05,17.5,5.7,2.6,8.3,4.0,3.9,3.8,17.0,31.17763157894737
1509,Willie Anderson,14.63,10.3,0.0,0.7,0.7,-2.5,-1.7,0.0,7.0,9.493421052631579
1510,Greg Anthony,15.46,15.0,1.5,1.4,2.9,1.1,0.1,0.5,4.0,13.229508196721312
1511,B.J. Armstrong,31.43,15.1,5.4,2.8,8.1,1.3,0.2,1.4,18.0,24.003048780487806
1512,Darrell Armstrong,2.67,40.2,0.1,0.0,0.1,31.7,34.8,0.1,1.0,6.5
1513,Vincent Askew,24.24,13.6,3.3,1.3,4.6,0.9,-0.3,0.7,4.0,17.577464788732396
1514,Keith Askins,17.08,12.3,1.0,0.9,1.9,0.1,0.6,0.6,5.0,12.315
1515,Stacey Augmon,31.08,16.0,1.9,3.2,5.1,-0.8,0.4,1.4,4.0,25.282894736842106
1516,Vin Baker,40.99,16.6,2.7,3.1,5.8,-0.1,1.6,3.1,2.0,36.21341463414634
1517,Dana Barros,40.46,20.9,10.5,2.2,12.7,5.9,4.3,5.3,7.0,39.917682926829265
1518,Jon Barry,11.58,12.6,0.7,0.4,1.1,-0.9,-2.5,-0.1,3.0,8.139423076923077
1519,John Battle,10.0,10.8,0.0,0.3,0.2,-2.3,-6.1,-0.3,16.0,6.955357142857143
1520,Sergei Bazarevich,7.4,13.6,0.1,0.1,0.2,-1.8,-4.9,-0.1,1.0,5.55
1521,Elmer Bennett,4.5,32.5,0.0,0.1,0.1,8.0,13.8,0.1,1.0,6.6875
1522,David Benoit,25.93,13.9,2.3,2.4,4.6,0.0,0.5,1.2,4.0,19.72887323943662
1523,Mookie Blaylock,38.36,19.2,4.6,4.8,9.4,4.2,5.5,5.8,7.0,39.39375
1524,Corie Blount,13.07,11.7,0.3,1.5,1.7,-2.5,-0.5,0.3,1.0,9.180147058823529
1525,Muggsy Bogues,33.71,16.9,5.8,2.8,8.6,1.0,0.2,1.5,16.0,29.294871794871796
1526,Walter Bond,12.61,10.3,0.2,0.2,0.4,0.1,-1.2,0.1,3.0,8.347826086956522
1527,Anthony Bonner,19.41,9.4,-0.2,2.0,1.8,-2.9,0.6,0.7,3.0,11.512931034482758
1528,Anthony Bowie,16.38,11.7,1.0,1.0,2.0,-1.2,-2.0,0.0,6.0,11.415584415584416
1529,Sam Bowie,18.28,10.4,-0.3,1.4,1.1,-4.2,-1.9,0.0,13.0,13.585820895522389
1530,Shawn Bradley,28.84,14.8,-0.1,3.6,3.5,-3.6,-0.2,1.1,2.0,26.274390243902438
1531,Terrell Brandon,29.27,18.7,2.6,3.0,5.6,2.0,2.5,2.2,4.0,27.138059701492537
1532,Tim Breaux,8.1,8.9,-0.2,0.2,0.0,-4.5,-7.2,-0.4,1.0,4.934523809523809
1533,Scott Brooks,13.69,14.9,1.3,0.5,1.9,0.0,-2.1,0.0,9.0,11.038135593220339
1534,Chucky Brown,19.85,12.4,1.3,0.8,2.1,-1.1,-1.4,0.1,7.0,12.365853658536585
1535,Dee Brown,35.34,15.7,5.0,1.8,6.8,2.6,2.4,3.1,5.0,29.509493670886076
1536,Mike Brown,7.89,1.8,-0.6,0.2,-0.4,-9.2,-9.9,-0.4,9.0,3.2222222222222223
1537,P.J. Brown,30.82,12.1,1.7,2.9,4.6,-1.7,1.3,2.0,2.0,21.975
1538,Randy Brown,16.21,11.8,-0.3,1.9,1.6,-2.3,0.6,0.7,4.0,12.294776119402986
1539,Mark Bryant,13.43,13.2,0.6,1.0,1.6,-2.2,-1.5,0.1,5.0,9.83673469387755
1540,Jud Buechler,10.61,13.8,0.7,0.9,1.5,-0.6,-0.1,0.3,5.0,7.864035087719298
1541,Scott Burrell,30.98,15.0,2.8,2.9,5.6,1.6,3.3,2.7,2.0,25.130769230769232
1542,Willie Burton,29.51,13.9,1.9,0.6,2.6,1.4,-1.2,0.3,5.0,23.495283018867923
1543,Mitchell Butler,20.45,10.0,-0.5,0.8,0.3,-2.6,-4.0,-0.8,2.0,12.93421052631579
1544,Michael Cage,24.88,13.5,2.1,3.7,5.8,-2.0,1.1,1.6,5.0,15.795731707317072
1545,Elden Campbell,28.44,15.4,1.5,2.3,3.8,-2.1,-1.1,0.5,4.0,25.839041095890412
1546,Tony Campbell,14.46,12.9,0.7,1.4,2.1,-2.1,-2.9,-0.3,12.0,10.112179487179487
1547,Antoine Carr,21.5,13.9,2.4,1.9,4.3,-0.6,-0.1,0.8,11.0,16.25
1548,Sam Cassell,22.95,15.9,2.7,2.0,4.7,0.5,-0.4,0.8,2.0,21.548780487804876
1549,Duane Causwell,14.14,11.4,0.5,1.3,1.8,-3.7,-0.3,0.4,3.0,10.168103448275861
1550,Cedric Ceballos,34.98,19.9,3.5,1.7,5.2,1.9,0.0,1.0,5.0,34.2198275862069
1551,Tom Chambers,15.31,12.5,1.2,1.4,2.5,-1.4,-1.5,0.2,10.0,11.407407407407407
1552,Rex Chapman,32.62,15.3,1.7,0.8,2.5,1.7,-0.3,0.6,8.0,28.57777777777778
1553,Calbert Cheaney,33.99,14.2,2.1,1.1,3.2,0.5,-1.2,0.5,2.0,26.397435897435898
1554,Pete Chilcutt,19.81,11.0,0.6,1.4,2.1,-2.2,-1.6,0.2,3.0,13.216911764705882
1555,Chris Childs,19.26,11.2,0.5,0.8,1.2,-1.2,-4.0,-0.5,1.0,14.377358490566039
1556,Doug Christie,6.58,-3.7,-0.5,0.1,-0.3,-11.9,-11.4,-0.2,3.0,2.5208333333333335
1557,Derrick Coleman,37.55,19.0,2.4,2.7,5.1,0.6,2.1,2.2,5.0,40.11607142857143
1558,Bimbo Coles,32.46,12.5,1.2,1.6,2.8,-0.9,-1.5,0.3,5.0,23.658088235294116
1559,Steve Colter,13.19,11.3,0.4,1.0,1.4,-2.5,-2.7,-0.1,8.0,8.153508771929825
1560,Marty Conlon,25.17,13.6,2.0,1.2,3.1,-0.9,-1.9,0.1,3.0,16.923780487804876
1561,Tyrone Corbin,17.15,12.0,0.2,2.0,2.1,-3.0,-2.8,-0.3,7.0,11.814814814814815
1562,John Crotty,12.74,12.2,1.0,1.0,2.1,-0.8,-1.4,0.2,3.0,9.371875
1563,Corey Crowder,4.14,-2.5,-0.2,0.0,-0.1,-10.4,-13.0,-0.1,2.0,1.1428571428571428
1564,Dell Curry,24.9,15.5,1.6,1.7,3.3,1.8,0.0,0.9,12.0,21.702898550724637
1565,Lloyd Daniels,20.13,9.7,-0.1,0.3,0.2,-1.3,-2.9,-0.1,3.0,13.258333333333333
1566,Dale Davis,31.7,16.1,2.6,4.3,6.8,-0.4,2.3,2.5,3.0,25.111486486486488
1567,Hubert Davis,20.7,14.7,3.1,1.7,4.8,2.0,0.0,0.8,3.0,15.875
1568,Terry Davis,12.61,8.1,0.1,0.4,0.5,-4.4,-6.3,-0.6,9.0,6.358695652173913
1569,Johnny Dawkins,23.4,12.2,0.8,0.3,1.1,-1.3,-3.1,-0.3,19.0,15.945
1570,Tony Dawson,6.5,5.9,0.0,0.0,0.0,-6.4,-11.1,0.0,1.0,5.5
1571,Todd Day,33.13,14.4,2.9,1.9,4.8,1.0,0.0,1.4,3.0,27.371951219512194
1572,Terry Dehere,22.18,11.8,0.0,0.4,0.5,-1.5,-4.6,-1.2,2.0,16.690625
1573,Vinny Del,31.47,13.8,4.6,2.2,6.8,1.3,0.9,1.8,16.0,22.36
1574,Vlade Divac,35.09,20.5,5.3,4.2,9.5,1.7,5.3,5.1,6.0,39.240625
1575,Sherman Douglas,31.51,17.0,3.2,1.0,4.2,1.9,0.0,1.0,6.0,28.0
1576,Kevin Duckworth,20.45,9.9,-0.7,0.7,0.0,-5.2,-6.2,-0.9,4.0,13.46875
1577,Chris Dudley,27.38,10.9,0.4,3.7,4.1,-3.4,-1.2,0.5,1.0,18.75609756097561
1578,Richard Dumas,11.13,15.4,0.1,0.1,0.3,-0.8,-2.2,0.0,2.0,9.066666666666666
1579,Tony Dumas,10.57,8.8,-0.2,0.2,0.0,-2.5,-5.8,-0.6,1.0,6.995689655172414
1580,Pat Durham,14.44,12.2,0.4,0.5,0.9,-2.0,-2.1,0.0,1.0,9.995762711864407
1581,Ledell Eackles,16.63,12.1,0.7,0.4,1.0,-1.6,-4.3,-0.5,13.0,11.26388888888889
1582,Blue Edwards,16.6,11.6,0.2,1.0,1.2,-1.0,-1.5,0.1,6.0,11.623134328358208
1583,Doug Edwards,5.58,10.1,-0.1,0.3,0.2,-5.0,-4.8,-0.2,2.0,3.388157894736842
1584,Kevin Edwards,33.29,11.7,0.2,0.4,0.6,-0.9,-1.6,0.0,8.0,22.678571428571427
1585,Craig Ehlo,23.8,13.9,0.8,1.4,2.1,0.0,-0.3,0.5,13.0,17.68877551020408
1586,Howard Eisley,11.27,6.1,-0.7,0.2,-0.5,-4.9,-7.0,-0.7,1.0,6.392857142857143
1587,Mario Elie,23.41,13.7,3.4,1.4,4.8,1.1,0.2,1.1,5.0,16.762345679012345
1588,Sean Elliott,35.28,16.0,5.8,2.9,8.7,2.4,2.1,2.9,6.0,29.209876543209877
1589,Dale Ellis,24.64,12.9,2.4,1.0,3.4,0.0,-2.9,-0.4,7.0,16.87962962962963
1590,Harold Ellis,9.51,14.4,0.1,0.8,0.9,-1.2,0.5,0.4,2.0,7.586956521739131
1591,Pervis Ellison,19.69,13.3,0.7,1.1,1.8,-2.0,-1.3,0.2,6.0,15.118181818181819
1592,Jo Jo,15.88,7.7,0.0,0.2,0.1,-3.4,-4.9,-0.1,3.0,9.15625
1593,Duane Ferrell,10.84,12.5,0.5,0.7,1.2,-1.0,-1.0,0.2,6.0,7.111607142857143
1594,Danny Ferry,15.73,16.0,2.3,1.5,3.9,1.9,0.6,0.8,5.0,12.908536585365853
1595,Matt Fish,14.23,10.6,-0.1,0.3,0.2,-3.8,-3.7,-0.2,1.0,9.673076923076923
1596,Vern Fleming,12.47,14.6,1.0,0.9,1.9,-0.3,-0.4,0.3,14.0,9.486363636363636
1597,Sleepy Floyd,17.31,6.3,-0.5,0.4,-0.2,-4.0,-6.8,-1.0,8.0,9.192708333333334
1598,Alphonso Ford,19.6,0.4,-0.5,0.0,-0.4,-8.7,-11.1,-0.2,2.0,8.55
1599,Greg Foster,14.67,10.1,0.1,0.9,1.0,-4.0,-5.4,-1.0,4.0,9.291666666666666
1600,Rick Fox,19.6,16.8,1.8,0.9,2.8,2.3,2.8,1.3,4.0,17.87735849056604
1601,Corey Gaines,25.45,7.2,0.0,0.1,0.1,-3.3,-4.8,-0.2,7.0,11.272727272727273
1602,Kevin Gamble,15.88,16.3,2.5,0.9,3.4,1.3,-0.2,0.5,8.0,13.14935064935065
1603,Winston Garland,26.45,10.1,0.6,0.6,1.2,-2.0,-3.5,-0.7,17.0,16.366438356164384
1604,Chris Gatling,25.34,19.5,2.6,1.4,3.9,0.0,-0.2,0.7,4.0,23.775862068965516
1605,Kenny Gattison,19.48,9.2,0.0,0.5,0.5,-4.2,-3.4,-0.1,13.0,11.80952380952381
1606,Matt Geiger,23.14,12.9,1.1,1.7,2.7,-2.0,-1.8,0.1,3.0,16.175675675675677
1607,Tate George,2.67,2.0,0.0,0.0,0.0,-9.7,-18.6,0.0,4.0,1.0
1608,Kendall Gill,29.11,15.2,2.0,2.6,4.6,0.4,0.8,1.5,5.0,25.15753424657534
1609,Armen Gilliam,30.15,18.1,3.6,3.0,6.6,-0.7,-0.1,1.2,6.0,27.28048780487805
1610,Greg Graham,15.5,9.5,-0.1,0.4,0.3,-3.1,-4.5,-0.5,2.0,8.95
1611,Brian Grant,28.61,16.5,1.9,3.4,5.3,-1.4,0.2,1.3,1.0,25.075
1612,Gary Grant,14.24,15.1,0.3,0.3,0.6,-1.1,-3.3,-0.1,9.0,12.5
1613,Greg Grant,10.79,9.1,-0.1,0.1,0.0,-4.6,-8.3,-0.2,5.0,7.696428571428571
1614,Harvey Grant,23.61,13.2,1.7,2.2,4.0,-1.6,-0.7,0.6,7.0,17.316666666666666
1615,Horace Grant,36.39,16.9,6.0,3.5,9.5,1.6,3.5,3.7,5.0,30.46283783783784
1616,Jeff Grayer,23.36,10.6,-0.1,0.5,0.4,-2.6,-4.1,-0.6,24.0,13.99468085106383
1617,A.C. Green,32.77,14.2,4.6,2.1,6.7,0.6,0.7,1.9,11.0,23.670731707317074
1618,Tom Gugliotta,33.35,15.2,0.8,2.7,3.5,0.0,2.0,2.6,3.0,29.57792207792208
1619,Andres Guibert,9.82,8.3,-0.2,0.2,-0.1,-5.2,-5.6,-0.1,1.0,6.5588235294117645
