,Player,MPG,PER,VORP,BPM,OBPM,WS,OWS,DWS
231,Vince Hunter,1.75,35.8,0.0,-10.599735575208166,-4.7931732773948985,0.0,0.0,0.0
232,Serge Ibaka,27.539473684210527,14.7,1.0,-2.074675775194427,-1.2817904180524993,5.1,2.1,2.9999999999999996
233,Andre Iguodala,25.34375,11.2,0.9,-2.0190941175388737,-3.031320131199281,3.2,1.6,1.6
234,Ersan Ilyasova,25.057971014492754,14.9,0.9,-0.4730757815367981,0.3272683747683363,4.0,2.2,1.7999999999999998
235,Joe Ingles,31.4390243902439,14.4,3.3,1.6172428038056657,-1.142141520141951,7.6,4.0,3.5999999999999996
236,Andre Ingram,32.0,16.3,0.1,0.8836191150782284,-2.621697524083412,0.2,0.1,0.1
237,Brandon Ingram,33.47457627118644,13.8,0.4,-3.233649601916328,-3.116346798470535,2.8,1.0,1.7999999999999998
238,Kyrie Irving,32.18333333333333,25.0,4.0,4.689161288375429,4.539656809814199,8.9,6.3,2.6000000000000005
239,Jonathan Isaac,19.85185185185185,9.8,0.0,-1.7678106284787765,-6.218716987467905,0.2,-0.6,0.8
240,Wesley Iwundu,16.451612903225808,7.8,-0.4,-5.316338701594199,-3.380719904278286,0.7,0.0,0.7
241,Jarrett Jack,24.967741935483872,11.5,-0.6,-4.748328358431429,-4.181968195698417,1.2,0.5,0.7
242,Aaron Jackson,35.0,2.4,-0.1,-8.938436560184954,-6.5785760656927375,0.0,0.0,0.0
243,Demetrius Jackson,5.333333333333333,5.4,-0.1,-6.7157825534798,-7.469787402804118,-0.1,-0.2,0.1
244,Josh Jackson,25.441558441558442,11.8,-1.1,-5.384788784918282,-3.4776424146104414,-0.7,-2.0,1.3
245,Justin Jackson,22.147058823529413,9.2,-0.6,-3.0423354247129213,-3.1774944461180263,1.0,0.4,0.6
246,Reggie Jackson,26.68888888888889,15.9,0.2,-2.207890747973228,-0.3041579259470324,2.0,1.1,0.8999999999999999
247,LeBron James,36.90243902439025,28.6,8.9,8.314615974460187,4.356863221089588,14.0,11.0,3.0
248,Mike James,19.083333333333332,13.9,-0.1,-3.5473734699230572,-1.2475161111069846,0.2,-0.1,0.30000000000000004
249,Al Jefferson,13.444444444444445,20.2,0.2,-1.007890943203435,-1.8210016363276067,1.6,0.8,0.8
250,Richard Jefferson,8.15,6.4,-0.2,-7.5925424488829645,-4.522417226622809,0.1,0.1,0.0
251,Brandon Jennings,14.642857142857142,12.7,-0.1,-6.437188518438133,-2.685220873023658,0.1,0.0,0.1
252,Jonas Jerebko,15.324324324324325,13.2,0.4,-2.289553191370135,-1.0829970185116786,3.4,1.8,1.5999999999999999
253,Amir Johnson,15.824324324324325,14.8,1.5,0.13726913170951693,-4.038090662248476,4.1,2.1,1.9999999999999996
254,Brice Johnson,5.444444444444445,18.2,0.0,-3.596228880769877,-5.900846124508479,0.2,0.0,0.2
255,Dakari Johnson,5.193548387096774,16.4,0.1,-2.403299338064736,-1.2935478377189236,0.6,0.4,0.19999999999999996
256,James Johnson,26.616438356164384,15.8,1.8,-1.8774591247541468,-0.9623536284352371,4.9,2.2,2.7
257,Joe Johnson,21.90909090909091,8.1,-0.5,-6.596104364450007,-4.831979971014872,1.0,-0.3,1.3
258,Omari Johnson,18.75,10.5,0.0,-3.771264915536949,-0.7612785645477237,0.1,0.1,0.0
259,Stanley Johnson,27.44927536231884,9.0,0.2,-3.0322203217320003,-3.5307908883674415,1.8,-0.6,2.4
260,Tyler Johnson,28.5,13.0,0.9,-1.5503349591665367,-0.8874152303169465,4.2,1.9,2.3000000000000003
261,Wesley Johnson,20.08108108108108,9.8,0.9,-1.0350143060082457,-2.936873160041636,1.7,-0.1,1.8
262,Nikola Jokic,32.57333333333333,24.4,5.6,4.676032035864848,2.5739351032125555,10.7,7.8,2.8999999999999995
263,Damian Jones,5.933333333333334,6.8,-0.1,-5.229575710588297,-6.018802055922949,0.1,0.0,0.1
264,Derrick Jones,12.25,10.1,0.0,-2.4048961379812073,-3.6692794844105037,0.4,0.1,0.30000000000000004
265,Jalen Jones,11.3125,10.3,-0.2,-8.240100182928643,-5.420674344936056,0.1,0.0,0.1
266,Tyus Jones,17.890243902439025,14.1,0.9,-1.7922469714965605,0.18747225355611008,3.6,2.3,1.3000000000000003
267,DeAndre Jordan,31.48051948051948,20.2,2.5,2.460559416824256,0.516004716391417,9.4,6.0,3.4000000000000004
268,Cory Joseph,26.951219512195124,11.0,0.5,-1.8736312452869623,-4.147302692040654,3.1,1.2,1.9000000000000001
269,Frank Kaminsky,23.227848101265824,14.4,0.5,-2.1967030786955264,-0.7954312275326763,3.6,2.3,1.3000000000000003
